201130 181203.549|CONFIG|qtp934275857-71|setFileHandlers|Now logging to /usr/local/pc2/logs directory.
201130 181203.549|INFO|qtp934275857-71|info|
201130 181203.550|INFO|qtp934275857-71|info|Version 9 () Java ver 11.0.9.1 build  Linux 5.4.0-1025-aws (amd64) 
201130 181203.550|INFO|qtp934275857-71|startLog|Working directory is /usr/local/pc2
201130 181203.551|INFO|qtp934275857-71|startLog|Process id is 47921@scoreboard3
201130 181203.551|INFO|qtp934275857-71|start|Starting ConnectionManager...
201130 181203.553|INFO|qtp934275857-71|start|Started ConnectionManager
201130 181203.553|INFO|qtp934275857-71|setClientServerAndPort|INIFile File location: file:/usr/local/pc2/pc2v9.ini
201130 181203.553|INFO|qtp934275857-71|setClientServerAndPort|setClientServerAndPort 10.0.3.175 parsed as 10.0.3.175 port 50002
201130 181203.553|INFO|qtp934275857-71|info|Contacting server at 10.0.3.175:50002
201130 181203.554|INFO|qtp934275857-71|connectToMyServer|Connecting to 10.0.3.175:50002
