201129 185745.389|CONFIG|qtp1823409783-17|setFileHandlers|Now logging to /usr/local/pc2/logs directory.
201129 185745.389|INFO|qtp1823409783-17|info|
201129 185745.389|INFO|qtp1823409783-17|info|Version 9 () Java ver 11.0.8 build  Linux 5.4.0-1025-aws (amd64) 
201129 185745.389|INFO|qtp1823409783-17|startLog|Working directory is /usr/local/pc2
201129 185745.410|INFO|qtp1823409783-17|startLog|Process id is 15909@scoreboard3
201129 185745.410|INFO|qtp1823409783-17|start|Starting ConnectionManager...
201129 185745.412|INFO|qtp1823409783-17|start|Started ConnectionManager
201129 185745.412|INFO|qtp1823409783-17|setClientServerAndPort|INIFile File location: file:/usr/local/pc2/pc2v9.ini
201129 185745.413|INFO|qtp1823409783-17|setClientServerAndPort|setClientServerAndPort 10.0.3.175 parsed as 10.0.3.175 port 50002
201129 185745.413|INFO|qtp1823409783-17|info|Contacting server at 10.0.3.175:50002
201129 185745.413|INFO|qtp1823409783-17|connectToMyServer|Connecting to 10.0.3.175:50002
